Empresa;C�digo;�ndices dos quais participa
LOJAS RENNER;LREN3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
LOPES BRASIL;LPSB3;IGCX,IGNM,ITAG
LUMEN TECH;L1MN34;BDRX
LUPATECH;LUPA3;IGCX,IGNM,ITAG
LWSA;LWSA3;IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
M.DIASBRANCO;MDIA3;AGFS,GPTW,IBRA,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
MAGAZ LUIZA;MGLU3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
MARCOPOLO;POMO3;IGCX,ITAG
MARCOPOLO;POMO4;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,IDIV,IGCT,IGCX,INDX,ITAG,IVBX,SMLL
MARFRIG;MRFG3;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,SMLL
MASTERCARD;MSCD34;BDRX
MATER DEI;MATD3;IGCX,IGNM,ITAG
MCDONALDS;MCDC34;BDRX
MEDICAL P TR;M2PW34;BDRX
MELIUZ;CASH3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
MELNICK;MELK3;IGCX,IGNM,ITAG
MERCADOLIBRE;MELI34;BDRX
MERCANTIL;BMEB3;IGCX
MERCANTIL;BMEB4;IGCX
MERCK;MRCK34;BDRX
META PLAT;M1TA34;BDRX
METAL LEVE;LEVE3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
METALFRIO;FRIO3;IGCX,IGNM,ITAG
MICRON TECHN;MUTC34;BDRX
MICROSOFT;MSFT34;BDRX
MICROSTRATEG;M2ST34;BDRX
MILLS;MILS3;GPTW,IBRA,ICO2,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
